"Phase","PlanFile","Lines","Objectives","RDCCoverage","Tests","Status"
"00-rdc-blockers","00-01-DEPLOYMENT-READINESS.md","161","—","RDC 978,786","4","In Progress"
"00-rdc-blockers","00-01-EXECUTION-SUMMARY.md","111","—","—","16","Complete"
"00-rdc-blockers","00-01-SMOKE-TEST-REPORT.md","369","—","—","20","Complete"
"00-rdc-blockers","00-01-turnos-supervisor-shift-PLAN.md","237","—","RDC 978,786,978,786,978,786","15","In Progress"
"00-rdc-blockers","00-02-CTO-MANUAL-PDF-CONVERSION.md","236","—","—","1","In Progress"
"00-rdc-blockers","00-02-lgpd-pol-and-dpia-PLAN.md","216","—","RDC 978,978,978,222,978,978,978","10","In Progress"
"00-rdc-blockers","00-02-lgpd-pol-and-dpia-SUMMARY.md","393","—","RDC 978,978,978,978,978,978","8","Complete"
"00-rdc-blockers","00-02-RT-MANUAL-EXECUTION-PLAN.md","437","—","RDC 978,978,978,978,978,978","9","In Progress"
"00-rdc-blockers","00-02-RT-MANUAL-EXECUTION-REPORT.md","294","—","RDC 978,978,978,978,978","23","Complete"
"00-rdc-blockers","00-02-RT-MANUAL-GATE-SUMMARY.md","226","—","RDC 978,978,978,978,978","16","Complete"
"00-rdc-blockers","00-02-RT-MANUAL-SGQ-CREATION.md","84","—","RDC 978,978","0","In Progress"
"00-rdc-blockers","00-03-DEPLOYMENT-READINESS.md","333","—","—","8","In Progress"
"00-rdc-blockers","00-03-EXECUTION-CHECKLIST.md","813","—","RDC 978,978,978,978,978,978","59","In Progress"
"00-rdc-blockers","00-03-lab-apoio-contracts-PLAN.md","251","—","RDC 978,978,978,978","19","In Progress"
"00-rdc-blockers","00-03-lab-apoio-contracts-SUMMARY.md","206","—","RDC 978,978,978","9","Complete"
"00-rdc-blockers","00-04-cloud-logs-day1.md","141","—","—","1","In Progress"
"00-rdc-blockers","00-04-EXECUTION-CHECKLIST.md","899","—","RDC 978,978,978,978,978","36","In Progress"
"00-rdc-blockers","00-04-EXECUTION-STATUS.md","154","—","RDC 978","3","In Progress"
"00-rdc-blockers","00-04-risks-fmea-skeleton-PLAN.md","267","—","RDC 978,978,978,978","13","In Progress"
"00-rdc-blockers","00-04-risks-fmea-skeleton-SUMMARY.md","187","—","—","4","Complete"
"00-rdc-blockers","00-CONTEXT.md","173","—","RDC 978,978,978,786,978,978,978,786","3","In Progress"
"00-rdc-blockers","CLOUD-LOGS-HEALTH-CHECK.md","306","—","RDC 978,978,978,978,978,978","11","In Progress"
"00-rdc-blockers","DEVOPS-CLOUD-LOGS-GUIDE.md","283","—","RDC 978,978","11","In Progress"
"00-rdc-blockers","PHASE0-CLOSURE-REPORT.md","255","—","RDC 978,978,978,786,978,978,978,978,786,978,978,978,978","8","Complete"
"00-rdc-blockers","PHASE0-SIGN-OFF-MEMO.md","489","—","RDC 978,978,978,978,786,978,978,978,978,978,786,978,978,978,978,978,786,978,978,978","9","In Progress"
"00-rdc-blockers","Task-1.1-COMPLETION-REPORT.md","154","—","—","2","Complete"
"00-rdc-blockers","WAVE2-EXECUTION-BRIEF.md","235","—","—","24","In Progress"
"02-construction","02-01-PLAN.md","304","—","—","29","In Progress"
"02-construction","02-01-SUMMARY.md","502","—","RDC 978,978,978,978,978,978","19","Complete"
"02-construction","02-02-HANDOFF.md","267","—","RDC 222","19","In Progress"
"02-construction","02-02-PLAN.md","139","—","—","3","In Progress"
"02-construction","02-02-SUMMARY.md","505","—","RDC 222,222,978,978","31","Complete"
"02-construction","02-02-TASK3-5-SUMMARY.md","373","—","RDC 222,222,222,222,222","12","Complete"
"02-construction","02-03-PLAN.md","116","—","—","2","In Progress"
"02-construction","02-06-RULES-SUMMARY.md","373","—","RDC 222,978,978,978,978","23","Complete"
"02-construction","BATCH2-COMPLETION.md","109","—","RDC 222,978,978,222,978","2","In Progress"
"03.1-foundation",".continue-here.md","198","—","RDC 978,978,978","5","In Progress"
"03.1-foundation","03.1-01-PLAN.md","887","—","—","62","In Progress"
"03.1-foundation","03.1-01-SUMMARY.md","316","—","RDC 978,978","19","Complete"
"03.1-foundation","03.1-02-PLAN.md","1017","—","RDC 978,978","69","In Progress"
"03.1-foundation","03.1-02-SUMMARY.md","303","—","RDC 978","12","Complete"
"03.1-foundation","03.1-03-PLAN.md","1235","—","RDC 978,978","93","In Progress"
"03.1-foundation","03.1-03-SUMMARY.md","149","—","RDC 978","7","Complete"
"03.1-foundation","03.1-04-PLAN.md","1144","—","—","86","In Progress"
"03.1-foundation","03.1-04-SUMMARY.md","122","—","—","11","Complete"
"03.1-foundation","03.1-COMPLETION.md","290","—","—","20","In Progress"
"03.1-foundation","03.1-CONTEXT.md","230","—","RDC 978,978,978,978","3","In Progress"
"03.1-foundation","03.1-RESEARCH.md","912","—","RDC 978,978,978,978,978,978,978,978","44","In Progress"
"03.1-foundation","firebase-emulator-setup.md","253","—","—","25","In Progress"
"03.1-foundation","pubsub-infrastructure.md","151","—","—","2","In Progress"
"03.1-foundation","VALIDATION.md","199","—","—","4","In Progress"
"03.1-foundation","WAVE2-EXECUTION-SUMMARY.md","420","—","—","19","Complete"
"03.1-foundation","WAVE2-FIRESTORE-INDICES.md","754","—","—","40","In Progress"
"03.1-foundation","WAVE2-INTEGRATION-CHECKLIST.md","1522","—","—","91","In Progress"
"03.1-foundation","WAVE2-TEST-SCENARIOS.md","428","—","—","40","In Progress"
"03.2-core-features","03.2-01-PLAN.md","2227","—","RDC 978","35","In Progress"
"03.2-core-features","03.2-01-SUMMARY.md","240","—","RDC 978","18","Complete"
"03.2-core-features","03.2-02-PLAN.md","1348","—","RDC 978","17","In Progress"
"03.2-core-features","03.2-03-PLAN.md","1202","—","—","13","In Progress"
"03.2-core-features","03.2-03-SUMMARY.md","224","—","—","21","Complete"
"03.2-core-features","03.2-04-PLAN.md","1157","—","RDC 978,978,978,978,978,978,978,978,978,978,978,978","60","In Progress"
"03.2-core-features","03.2-04-SUMMARY.md","196","—","RDC 978,978","45","Complete"
"03.2-core-features","03.2-RESEARCH.md","1340","—","RDC 978,978,978,978,978,978,978,978,978,978","65","In Progress"
"03.3-polish","03.3-01-PLAN.md","707","—","—","16","In Progress"
"03.3-polish","03.3-01-SUMMARY.md","128","—","—","4","Complete"
"03.3-polish","03.3-02-PLAN.md","518","—","—","22","In Progress"
"03.3-polish","03.3-02-SUMMARY.md","181","—","RDC 978","34","Complete"
"03.3-polish","03.3-03-PLAN.md","732","—","—","32","In Progress"
"03.3-polish","03.3-03-SUMMARY.md","248","—","—","15","Complete"
"03.3-polish","03.3-CONTEXT.md","160","—","RDC 978","6","In Progress"
"03-schema-extensions","03-01-COMPLETION_REPORT.md","322","—","RDC 978","15","Complete"
"03-schema-extensions","03-01-IMPLEMENTATION_CHECKLIST.md","300","—","RDC 978","14","In Progress"
"03-schema-extensions","03-01-PLAN.md","231","—","—","9","In Progress"
"03-schema-extensions","03-02-IMPLEMENTATION_CHECKLIST.md","331","—","RDC 978,978,978","47","In Progress"
"03-schema-extensions","03-02-PLAN.md","244","—","—","19","In Progress"
"03-schema-extensions","03-02-SESSION_REPORT.md","460","—","RDC 978,978,978,978,978,978,978","40","Complete"
"03-schema-extensions","03-03-PLAN.md","254","—","—","10","In Progress"
"03-schema-extensions","03-04-PLAN.md","365","—","—","35","In Progress"
"03-schema-extensions","03-PLAN.md","295","—","—","10","In Progress"
"03-schema-extensions","ALERT_CHECKLIST_PHASE3.md","340","—","—","20","In Progress"
"03-schema-extensions","AUDITOR_SUMMARY.md","216","—","RDC 978,978,978,986,986,978,986,978,978,978,986","7","Complete"
"03-schema-extensions","CLOUD_LOGS_BASELINE.md","373","—","RDC 978","10","In Progress"
"03-schema-extensions","COMPLIANCE_AUDIT.md","525","—","RDC 978,978,978,978,986,978,986,986,978,986,978,986,986,978,978,986,986,978,978,978,986,986,986,986,986,978,986,978,978,986,978,986,978","12","In Progress"
"03-schema-extensions","COMPLIANCE_AUDIT_FINAL.md","499","—","RDC 978,978,978,986,986,978,986,986,978,978,978,986,978","14","In Progress"
"03-schema-extensions","HEALTH_CHECK_DASHBOARD.md","440","—","RDC 978,978,978","15","In Progress"
"03-schema-extensions","INTEGRATION_CHECKLIST_WAVE2.md","477","—","—","34","In Progress"
"03-schema-extensions","MONITORING_INDEX.md","378","—","RDC 978,978,978","10","In Progress"
"03-schema-extensions","PERFORMANCE_BASELINE.md","266","—","—","32","In Progress"
"03-schema-extensions","PHASE3_E2E_TESTS_COMPLETE.md","279","—","—","55","Complete"
"03-schema-extensions","PHASE3_MONITORING_EXEC_SUMMARY.md","384","—","RDC 978,978","11","Complete"
"03-schema-extensions","PHASE3_MONITORING_README.md","477","—","RDC 978,978,978","12","In Progress"
"03-schema-extensions","PHASE3_PROGRESS_REPORT.md","484","—","RDC 978,978,978,978","19","Complete"
"03-schema-extensions","WAVE1_GO_DECISION.md","361","—","RDC 978,978","15","In Progress"
"03-schema-extensions","WAVE1_PREFLIGHT_REPORT.md","445","—","RDC 978,978","18","Complete"
"03-schema-extensions","WAVE2_EXECUTIVE_SUMMARY.md","350","—","—","17","Complete"
"03-schema-extensions","WAVE2_FINDINGS.md","348","—","RDC 978","21","In Progress"
"03-schema-extensions","WAVE2_INDEX.md","406","—","—","14","In Progress"
"03-schema-extensions","WAVE2_PREFLIGHT_SUMMARY.md","406","—","RDC 978","26","Complete"
"03-schema-extensions","WAVE2_RULES_INSERTION_GUIDE.md","182","—","—","0","In Progress"
"04-capa-closure","04-CONTEXT.md","105","—","—","1","In Progress"
"04-capa-closure","04-RESEARCH.md","701","—","RDC 978,222,222,178","11","In Progress"
"04-capa-closure","PHASE_4_DETAILED_PLAN.md","2095","—","RDC 222,222,178,978,978,978,978","28","In Progress"
"04-cleanup","04-01-PLAN.md","406","—","RDC 978","45","In Progress"
"04-cleanup","04-01-SUMMARY.md","256","—","RDC 978","23","Complete"
"04-cleanup","04-02-PLAN.md","1018","—","RDC 978","9","In Progress"
"04-cleanup","04-02-SUMMARY.md","276","—","RDC 978","3","Complete"
"04-portal-notivisa","04-01-PLAN.md","781","—","RDC 978,978,978,978","31","In Progress"
"04-portal-notivisa","04-02-PLAN.md","600","—","RDC 978,978,978","29","In Progress"
"04-portal-notivisa","04-03-PLAN.md","613","—","RDC 978,978,978,978,978","9","In Progress"
"04-portal-notivisa","04-04-PLAN.md","1045","—","RDC 978,978,978,978","115","In Progress"
"04-portal-notivisa","04-RESEARCH.md","983","—","RDC 978,978,115,5,978,978,978,978,978,167,978,978,167,978,167","47","In Progress"
"04-portal-notivisa","PHASE_4_OVERVIEW.md","375","—","RDC 978,978,978,978,978,978,978,978,978","8","In Progress"
"04-portal-notivisa","PLANNING_SUMMARY.md","372","—","RDC 978,978,978,978,978,978","10","Complete"
"05-auditoria-interna","05-01-PLAN.md","596","—","RDC 978,978,978","6","In Progress"
"05-auditoria-interna","05-01-SUMMARY.md","407","—","RDC 978,978,978,978,978,978","2","Complete"
"05-auditoria-interna","05-02-PLAN.md","919","—","RDC 978","9","In Progress"
"05-auditoria-interna","05-02-SUMMARY.md","83","—","—","2","Complete"
"05-auditoria-interna","05-03-PLAN.md","825","—","RDC 978","25","In Progress"
"05-auditoria-interna","05-03-SUMMARY.md","191","—","RDC 978","7","Complete"
"05-auditoria-interna","05-04-PLAN.md","943","—","RDC 978","28","In Progress"
"05-auditoria-interna","PHASE_OVERVIEW.md","350","—","RDC 978,978,978","17","In Progress"
"05-criticos-ia","05-01-PLAN.md","321","—","RDC 978,978,978,978,978,978,115","13","In Progress"
"05-criticos-ia","05-02-PLAN.md","434","—","RDC 978,978,978,978,978,978,978,978,978,978,978","12","In Progress"
"05-criticos-ia","05-03-PLAN.md","561","—","RDC 978,978,978,978","14","In Progress"
"05-criticos-ia","05-04-PLAN.md","535","—","RDC 978,978,978,978","24","In Progress"
"05-criticos-ia","PHASE_5_OVERVIEW.md","431","—","RDC 978,978,978,978,978,978,978,978,978,978,978,978,978,978,978,978,978,978,978","8","In Progress"
"05-criticos-ia-strip","05-01-PLAN.md","383","—","RDC 978","16","In Progress"
"05-criticos-ia-strip","05-02-PLAN.md","494","—","RDC 978","22","In Progress"
"05-criticos-ia-strip","05-03-PLAN.md","472","—","RDC 978","25","In Progress"
"05-criticos-ia-strip","05-04-PLAN.md","489","—","RDC 978","24","In Progress"
"05-criticos-ia-strip","EXECUTION_SUMMARY.md","327","—","RDC 978,978","6","Complete"
"05-criticos-ia-strip","PHASE_5_OVERVIEW.md","156","—","RDC 978,978,978","1","In Progress"
"05-criticos-ia-strip","PHASE_5_VERIFICATION.md","392","—","RDC 978,978,978,978","17","In Progress"
"05-criticos-ia-strip","README.md","365","—","RDC 978,978,978","19","In Progress"
"05-portals","05-RESEARCH.md","777","—","RDC 978,978,978,978,978,978,978,978","21","In Progress"
"06","06-RESEARCH.md","703","—","RDC 978,978,978,978,978,978,978,978,978","31","In Progress"
"06","PHASE_6_DETAILED_PLAN.md","1543","—","RDC 978,978,978,978,978","19","In Progress"
"06","PHASE_6_EXECUTION_SUMMARY.md","519","—","RDC 978,978,978,978","34","Complete"
"06","PHASE_6_EXECUTIVE_SUMMARY.md","255","—","RDC 978,978,978,978","12","Complete"
"06","PHASE_6_RT_OPERATIONAL_GUIDE.md","503","—","RDC 978,978,978,978,978","0","In Progress"
"06","README.md","284","—","RDC 978,978,978,978","27","In Progress"
"06-compliance","06-01-PLAN.md","790","—","RDC 978","43","In Progress"
"06-compliance","06-01-SUMMARY.md","399","—","RDC 978,978,978","28","Complete"
"06-compliance","06-02-PLAN.md","1237","—","RDC 978,978,978,978,978,978,978,978,978,978","73","In Progress"
"06-compliance","06-02-SUMMARY.md","274","—","RDC 978,978,978,978,978","20","Complete"
"07-dry-run","07-01-PLAN.md","899","—","RDC 978,978,978,978,978,978,978","10","In Progress"
"07-dry-run","07-01-SUMMARY.md","439","—","RDC 978,978,978,978","5","Complete"
"07-export-polish","07-01-PLAN.md","333","—","—","35","In Progress"
"07-export-polish","07-02-PLAN.md","414","—","RDC 978","32","In Progress"
"07-export-polish","07-03-PLAN.md","534","—","—","60","In Progress"
"07-feedback-portal","ARCHITECTURAL_DECISIONS.md","369","—","RDC 978,978","7","In Progress"
"07-feedback-portal","E2E_TEST_SPECS.md","953","—","—","73","In Progress"
"07-feedback-portal","EXECUTION_SUMMARY.md","136","—","RDC 978","6","Complete"
"07-feedback-portal","PHASE_7_DETAILED_PLAN.md","1299","—","RDC 978,978,978,978,978","12","In Progress"
"07-feedback-portal","README.md","278","—","RDC 978,978,978","31","In Progress"
"08","08-RESEARCH.md","687","—","RDC 978,978,978,978,978,978,978,978,978,978,978,978,978","33","In Progress"
"08-capa-closure","08-01-PLAN.md","1567","—","RDC 978,978,978,978","32","In Progress"
"08-capa-closure","08-02-PLAN.md","938","—","RDC 978,178,978","24","In Progress"
"08-capa-closure","08-03-PLAN.md","756","—","RDC 978,978,978,978,978,978,978,978,978,978,978,978,978","30","In Progress"
"08-notivisa","IMPLEMENTATION_CHECKLIST.md","418","—","RDC 978,978,978","23","In Progress"
"08-notivisa","PHASE_8_DETAILED_PLAN.md","1467","—","RDC 978,978,978,978,978","41","In Progress"
"08-notivisa","QUICK_REFERENCE.md","676","—","RDC 978","12","In Progress"
"09-bioquimica-phase2","00-OVERVIEW.md","236","—","RDC 978,978,978,978,978,978,978","11","In Progress"
"09-bioquimica-phase2","09-01-PLAN.md","1097","—","RDC 978,978,978,978","33","In Progress"
"09-bioquimica-phase2","09-02-PLAN.md","1948","—","RDC 978,978,978,978,978,978,978,978,978,978,978,978,978,978","48","In Progress"
"09-bioquimica-phase2","INDEX.md","178","—","RDC 978,978,978,978,978,978","13","In Progress"
"09-documentation-hardening","PHASE_9_DETAILED_PLAN.md","2047","—","RDC 978,978,978,222,786,978,978,978,986,978,978,222,786,978,986,978,978,978,978,978,978,978,978,978,978,986,978,222,978,978,978,978,986","34","In Progress"
"09-documentation-hardening","README.md","191","—","RDC 986,978,978,978,978,986","7","In Progress"
"09-mobile-refinement","00-OVERVIEW.md","195","—","—","1","In Progress"
"09-mobile-refinement","09-01-PLAN.md","378","—","—","23","In Progress"
"09-mobile-refinement","09-02-PLAN.md","979","—","—","9","In Progress"
"09-mobile-refinement","09-03-PLAN.md","688","—","—","12","In Progress"
"09-mobile-refinement","09-04-PLAN.md","1098","—","—","39","In Progress"
"09-mobile-refinement","09-PHASE-BRIEF.md","464","—","—","35","In Progress"
"09-mobile-refinement","INDEX.md","228","—","—","3","In Progress"
"10-analytes","IMPLEMENTATION_GUIDE.md","574","—","—","10","In Progress"
"10-analytes","INDEX.md","268","—","RDC 978,978,978,978,786,978","6","In Progress"
"10-analytes","PHASE_10_MULTI_INSTRUMENT_STRATEGY.md","805","—","RDC 978,786,978,786,978,978","6","In Progress"
"10-analytes","README.md","263","—","RDC 978,786,786,978,978,978,786,978,978","3","In Progress"
"10-bioquimica-expansion","10-RESEARCH.md","766","—","RDC 978,978,978,978,978,978,978,978,978,978,978,978,978,978","40","In Progress"
"10-bioquimica-expansion","PHASE_10_DETAILED_PLAN.md","2340","—","RDC 978,978,978,978,978,978,978,978,978,978,978,978,978,978,978","43","In Progress"
"10-critical-values","10-01-PLAN.md","1442","—","RDC 978,978,978,978,978,978,978,978,978,978,978,978,978,978,978,978,978,978,978","56","In Progress"
"10-critical-values","10-02-PLAN.md","1248","—","RDC 978,978,978,978,978,978,978,978,978,978","30","In Progress"
"11-feedback-loop","11-PHASE2-RESEARCH.md","858","—","RDC 978,978,978,978,978","56","In Progress"
"11-patient-portal-phase2","11-01-PLAN.md","1328","—","RDC 978,978,978,978,978","39","In Progress"
"11-patient-portal-phase2","11-02-PLAN.md","991","—","—","22","In Progress"
"11-patient-portal-phase2","PHASE_11_OVERVIEW.md","282","—","RDC 978,978,978","7","In Progress"
"12","12-RESEARCH.md","680","—","RDC 978,978,222,222,978,222,978,222,978,222,978,222","25","In Progress"
"12-performance-audit","INDEX.md","204","1. Enforce Web Vitals targets (LCP <2.0s, INP <200ms, CLS...","—","3","In Progress"
"12-performance-audit","PHASE_12_DETAILED_PLAN.md","968","—","—","24","In Progress"
"13-dicq-audit","EXECUTIVE_SUMMARY.md","209","—","RDC 978,978,978,978,5,4,5,978,978,978,978,978","0","Complete"
"13-dicq-audit","INDEX.md","274","—","RDC 978,978,978,978,978,978,978,978,978,8,978,978,978,5,4,5,978,978,978","1","In Progress"
"13-dicq-audit","PHASE_13_COMPLIANCE_SIGN_OFF_REPORT.md","429","—","RDC 978,978,978,978,978,978,978,978,5,4,5,978,978,978,978,978,978,978,978,978","7","Complete"
"13-dicq-audit","PHASE_13_DETAILED_PLAN.md","786","—","RDC 978,978,978,978,978,978,978,978,978,978,978,306,978,978,978,978,978,978","5","In Progress"
"13-dicq-audit","PHASE_13_DICQ_CONFORMANCE_MATRIX.md","303","—","RDC 222,978,978,978","3","In Progress"
"13-dicq-audit","PHASE_13_RDC_978_CRITICAL_ARTICLES_VERIFICATION.md","1329","—","RDC 978,978,978,978,978,978,306,978,978,978,978,978,978,978","6","In Progress"
"14-pre-launch-security-stability","PHASE_14_ARTIFACTS_INDEX.md","447","—","RDC 978,978","54","In Progress"
"14-pre-launch-security-stability","PHASE_14_DETAILED_PLAN.md","968","—","RDC 978,978,978","96","In Progress"
"14-pre-launch-security-stability","PHASE_14_EXECUTION_SUMMARY.md","383","—","RDC 978,978","45","Complete"
"14-pre-launch-security-stability","README.md","311","—","RDC 978,978","21","In Progress"
"15-launch-monitoring","PHASE_15_DEPLOYMENT_CHECKLIST.md","459","—","—","41","In Progress"
"15-launch-monitoring","PHASE_15_DETAILED_PLAN.md","1156","—","RDC 978,978,978,978,978,90,978","73","In Progress"
"15-launch-monitoring","PHASE_15_EXECUTIVE_SUMMARY.md","298","—","RDC 978,978","11","Complete"
"15-launch-monitoring","PHASE_OVERVIEW.md","363","—","RDC 978,978,978","6","In Progress"
"15-launch-monitoring","README.md","325","—","RDC 90","8","In Progress"
